id_alimento;id_usuario;nome_alimento;estado_alimento;alimento_verificado;grupo_alimentar;marca_alimento;alimento_ativo;dtt_criacao_alimento;id_tabela_nutricional;unidade_medida;porcao_padrao;kcal;qtde_proteina;qtde_gordura;qtde_carboidrato;qtde_alcool;qtde_fibra;qtde_saturada;qtde_monosaturada;qtde_polisaturada;qtde_trans;qtde_acucar;qtde_calcio;qtde_ferro;qtde_sodio;qtde_potassio;qtde_vitamina_a;qtde_vitamina_d;qtde_vitamina_e;qtde_vitamina_c
6400802;;Batata (não especificada);Ao vinagrete;;VEGANO;;;;;;;111,74;1,71;3,01;20,01;;2,05;0,03;0,00;0,04;-;0,86;8,00;0,31;5,00;328,00;0,17;-;0,06;7,40
6400802;;Batata (não especificada);Ensopado;;VEGANO;;;;;;;111,74;1,71;3,01;20,01;;2,05;0,03;0,00;0,04;-;0,86;8,00;0,31;5,00;328,00;0,17;-;0,06;7,40
6400802;;Batata (não especificada);Sopa;;VEGANO;;;;;;;31,44;0,95;0,12;7,01;;0,71;0,03;0,00;0,04;-;0,86;8,00;0,31;5,00;328,00;0,17;-;0,06;7,40
6400802;;Batata (não especificada);Não se aplica;;VEGANO;;;;;;;86,00;1,71;0,10;20,01;;2,05;0,03;0,00;0,04;-;0,86;8,00;0,31;5,00;328,00;0,17;-;0,06;7,40
6400908;;Mandioquinha;Cozido(a);;VEGANO;;;;;;;76,00;1,37;0,14;17,72;;2,50;0,29;0,41;1,09;-;5,74;27,00;0,72;27,00;230,00;787,00;-;0,94;12,80
6400908;;Mandioquinha;Frito(a);;VEGANO;;;;;;;116,40;1,30;5,13;16,83;;2,38;0,29;0,41;1,09;-;5,74;27,00;0,72;27,00;230,00;787,00;-;0,94;12,80
6400908;;Mandioquinha;Refogado(a);;VEGANO;;;;;;;91,74;1,37;1,92;17,72;;2,50;0,29;0,41;1,09;-;5,74;27,00;0,72;27,00;230,00;787,00;-;0,94;12,80
6400908;;Mandioquinha;Ensopado;;VEGANO;;;;;;;91,74;1,37;1,92;17,72;;2,50;0,29;0,41;1,09;-;5,74;27,00;0,72;27,00;230,00;787,00;-;0,94;12,80
6401001;;Rabanete;Cru(a);;VEGANO;;;;;;;16,00;0,68;0,10;3,40;;1,60;0,03;0,02;0,05;-;2,89;25,00;0,34;39,00;233,00;0,33;-;-;14,80
6401001;;Rabanete;Cozido(a);;VEGANO;;;;;;;18,00;0,60;0,10;4,10;;1,60;0,03;0,02;0,05;-;2,89;25,00;0,34;39,00;233,00;0,33;-;-;14,80
6401001;;Rabanete;Ao vinagrete;;VEGANO;;;;;;;18,00;0,60;0,10;4,10;;1,60;0,03;0,02;0,05;-;2,89;25,00;0,34;39,00;233,00;0,33;-;-;14,80
6401101;;Beterraba;Cru(a);;VEGANO;;;;;;;43,00;1,61;0,17;9,56;;2,80;0,03;0,03;0,06;-;6,50;16,00;0,80;78,00;325,00;1,67;-;0,04;4,90
6401101;;Beterraba;Cozido(a);;VEGANO;;;;;;;44,00;1,68;0,18;9,96;;2,00;0,03;0,03;0,06;-;6,50;16,00;0,80;78,00;325,00;1,67;-;0,04;4,90
6401101;;Beterraba;Refogado(a);;VEGANO;;;;;;;67,62;1,68;2,85;9,96;;2,00;0,03;0,03;0,06;-;6,50;16,00;0,80;78,00;325,00;1,67;-;0,04;4,90
6401101;;Beterraba;Ao vinagrete;;VEGANO;;;;;;;44,00;1,68;0,18;9,96;;2,00;0,03;0,03;0,06;-;6,50;16,00;0,80;78,00;325,00;1,67;-;0,04;4,90
6401101;;Beterraba;Sopa;;VEGANO;;;;;;;31,44;0,95;0,12;7,01;;0,71;0,03;0,03;0,06;-;6,50;16,00;0,80;78,00;325,00;1,67;-;0,04;4,90
6401101;;Beterraba;Não se aplica;;VEGANO;;;;;;;43,00;1,61;0,17;9,56;;2,80;0,03;0,03;0,06;-;6,50;16,00;0,80;78,00;325,00;1,67;-;0,04;4,90
6401201;;Cenoura;Cru(a);;VEGANO;;;;;;;41,00;0,93;0,24;9,58;;2,80;0,04;0,01;0,12;-;4,73;33,00;0,30;69,00;320,00;840,50;-;0,86;5,90
6401201;;Cenoura;Cozido(a);;VEGANO;;;;;;;35,00;0,76;0,18;8,22;;3,00;0,04;0,01;0,12;-;4,73;33,00;0,30;69,00;320,00;840,50;-;0,86;5,90
6401201;;Cenoura;Frito(a);;VEGANO;;;;;;;60,47;0,74;3,17;7,97;;2,91;0,04;0,01;0,12;-;4,73;33,00;0,30;69,00;320,00;840,50;-;0,86;5,90
6401201;;Cenoura;Refogado(a);;VEGANO;;;;;;;60,47;0,74;3,17;7,97;;2,91;0,04;0,01;0,12;-;4,73;33,00;0,30;69,00;320,00;840,50;-;0,86;5,90
6401201;;Cenoura;Molho vermelho;;VEGANO;;;;;;;32,80;0,87;0,18;7,65;;2,70;0,04;0,01;0,12;-;4,73;33,00;0,30;69,00;320,00;840,50;-;0,86;5,90
6401201;;Cenoura;Ao alho e óleo;;VEGANO;;;;;;;60,47;0,74;3,17;7,97;;2,91;0,04;0,01;0,12;-;4,73;33,00;0,30;69,00;320,00;840,50;-;0,86;5,90
6401201;;Cenoura;Com manteiga/óleo;;VEGANO;;;;;;;56,74;0,79;2,64;8,22;;3,00;0,04;0,01;0,12;-;4,73;33,00;0,30;69,00;320,00;840,50;-;0,86;5,90
6401201;;Cenoura;Ao vinagrete;;VEGANO;;;;;;;35,00;0,76;0,18;8,22;;3,00;0,04;0,01;0,12;-;4,73;33,00;0,30;69,00;320,00;840,50;-;0,86;5,90
6401201;;Cenoura;Ensopado;;VEGANO;;;;;;;60,47;0,74;3,17;7,97;;2,91;0,04;0,01;0,12;-;4,73;33,00;0,30;69,00;320,00;840,50;-;0,86;5,90
6401201;;Cenoura;Sopa;;VEGANO;;;;;;;31,44;0,95;0,12;7,01;;0,71;0,04;0,01;0,12;-;4,73;33,00;0,30;69,00;320,00;840,50;-;0,86;5,90
6401201;;Cenoura;Não se aplica;;VEGANO;;;;;;;41,00;0,93;0,24;9,58;;2,80;0,04;0,01;0,12;-;4,73;33,00;0,30;69,00;320,00;840,50;-;0,86;5,90
6401301;;Nabo;Cozido(a);;VEGANO;;;;;;;22,00;0,71;0,08;5,06;;2,00;0,46;0,67;1,72;0,02;1,89;33,00;0,18;16,00;177,00;-;-;0,02;11,60
