id_alimento,id_usuario,nome_alimento,estado_alimento,alimento_verificado,grupo_alimentar,marca_alimento,alimento_ativo,dtt_criacao_alimento,id_tabela_nutricional,unidade_medida,porcao_padrao,kcal,qtde_proteina,qtde_gordura,qtde_carboidrato,qtde_alcool,qtde_fibra,qtde_saturada,qtde_monosaturada,qtde_polisaturada,qtde_trans,qtde_acucar,qtde_calcio,qtde_ferro,qtde_sodio,qtde_potassio,qtde_vitamina_a,qtde_vitamina_d,qtde_vitamina_e,qtde_vitamina_c
58,,Aipim,FRITO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,58,GRAMA,100,162.7,0.6,5.3,28.6,0.0,1.5,0.1,0.1,0.1,,,19.0,0.1,1.0,100.0,,,,11.1
59,,Aipim,REFOGADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,59,GRAMA,100,162.7,0.6,5.3,28.6,0.0,1.5,0.1,0.1,0.1,,,19.0,0.1,1.0,100.0,,,,11.1
60,,Macaxeira,CRU,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,60,GRAMA,100,125.0,0.6,0.3,30.1,0.0,1.6,0.9,1.2,3.0,0.0,,19.0,0.1,1.0,100.0,,,,11.1
61,,Macaxeira,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,61,GRAMA,100,125.0,0.6,0.3,30.1,0.0,1.6,0.9,1.2,3.0,0.0,,19.0,0.1,1.0,100.0,,,,11.1
62,,Macaxeira,ASSADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,62,GRAMA,100,125.0,0.6,0.3,30.1,0.0,1.6,0.9,1.2,3.0,0.0,,19.0,0.1,1.0,100.0,,,,11.1
63,,Macaxeira,FRITO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,63,GRAMA,100,162.7,0.6,5.3,28.6,0.0,1.5,0.9,1.2,3.0,0.0,,19.0,0.1,1.0,100.0,,,,11.1
64,,Cará,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,64,GRAMA,100,100.0,1.7,0.1,23.4,0.0,1.8,0.0,0.0,0.0,0.0,3.3,35.0,0.5,8.0,377.0,1043.5,,0.8,9.1
65,,Cará,FRITO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,65,GRAMA,100,115.7,1.7,1.9,23.4,0.0,1.8,0.0,0.0,0.0,0.0,3.3,35.0,0.5,8.0,377.0,1043.5,,0.8,9.1
66,,Cará,REFOGADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,66,GRAMA,100,115.7,1.7,1.9,23.4,0.0,1.8,0.0,0.0,0.0,0.0,3.3,35.0,0.5,8.0,377.0,1043.5,,0.8,9.1
67,,Inhame caraquento,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,67,GRAMA,100,100.0,1.7,0.1,23.4,0.0,1.8,0.0,0.0,0.1,,6.5,35.0,0.5,8.0,377.0,1043.5,,0.8,9.1
68,,Batata,CRU,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,68,GRAMA,100,86.0,1.7,0.1,20.0,0.0,2.0,0.0,0.0,0.0,,0.9,8.0,0.3,5.0,328.0,0.2,,0.1,7.4
69,,Batata,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,69,GRAMA,100,86.0,1.7,0.1,20.0,0.0,2.0,0.0,0.0,0.0,,0.9,8.0,0.3,5.0,328.0,0.2,,0.1,7.4
70,,Batata,GRELHADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,70,GRAMA,100,86.0,1.7,0.1,20.0,0.0,2.0,0.0,0.0,0.0,,0.9,8.0,0.3,5.0,328.0,0.2,,0.1,7.4
71,,Batata,ASSADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,71,GRAMA,100,86.0,1.7,0.1,20.0,0.0,2.0,0.0,0.0,0.0,,0.9,8.0,0.3,5.0,328.0,0.2,,0.1,7.4
72,,Batata,FRITO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,72,GRAMA,100,263.5,2.9,13.6,33.6,0.0,3.4,0.0,0.0,0.0,,0.9,8.0,0.3,5.0,328.0,0.2,,0.1,7.4
73,,Batata,REFOGADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,73,GRAMA,100,111.7,1.7,3.0,20.0,0.0,2.0,0.0,0.0,0.0,,0.9,8.0,0.3,5.0,328.0,0.2,,0.1,7.4
74,,Mandioquinha,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,74,GRAMA,100,76.0,1.4,0.1,17.7,0.0,2.5,0.3,0.4,1.1,,5.7,27.0,0.7,27.0,230.0,787.0,,0.9,12.8
75,,Mandioquinha,FRITO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,75,GRAMA,100,116.4,1.3,5.1,16.8,0.0,2.4,0.3,0.4,1.1,,5.7,27.0,0.7,27.0,230.0,787.0,,0.9,12.8
76,,Mandioquinha,REFOGADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,76,GRAMA,100,91.7,1.4,1.9,17.7,0.0,2.5,0.3,0.4,1.1,,5.7,27.0,0.7,27.0,230.0,787.0,,0.9,12.8
77,,Rabanete,CRU,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,77,GRAMA,100,16.0,0.7,0.1,3.4,0.0,1.6,0.0,0.0,0.1,,2.9,25.0,0.3,39.0,233.0,0.3,,,14.8
78,,Rabanete,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,78,GRAMA,100,18.0,0.6,0.1,4.1,0.0,1.6,0.0,0.0,0.1,,2.9,25.0,0.3,39.0,233.0,0.3,,,14.8
79,,Beterraba,CRU,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,79,GRAMA,100,43.0,1.6,0.2,9.6,0.0,2.8,0.0,0.0,0.1,,6.5,16.0,0.8,78.0,325.0,1.7,,0.0,4.9
