id_tabela_nutricional,kcal,porcao_padrao,qtde_acucar,qtde_alcool,qtde_calcio,qtde_carboidrato,qtde_ferro,qtde_fibra,qtde_gordura,qtde_monosaturada,qtde_polisaturada,qtde_potassio,qtde_proteina,qtde_saturada,qtde_sodio,qtde_trans,qtde_vitamina_a,qtde_vitamina_c,qtde_vitamina_d,qtde_vitamina_e,unidade_medida,id_alimento
107,78.2,100,7.2,0.0,124.6,10.5,0.2,0.2,3.1,0.9,0.6,156.8,2.4,1.4,319.3,0.2,30.1,0.1,0.5,0.2,GRAMA,107
108,377.0,100,38.0,0.0,56.0,88.8,3.9,2.1,0.7,,,52.0,4.7,,405.0,,15.0,,,,GRAMA,108
109,377.0,100,38.0,0.0,56.0,88.8,3.9,2.1,0.7,,,52.0,4.7,,405.0,,15.0,,,,GRAMA,109
110,360.0,100,8.7,0.0,39.0,51.8,6.3,13.2,9.7,1.4,6.0,892.0,23.1,1.7,12.0,,5.2,,,21.8,GRAMA,110
111,216.0,100,1.6,0.0,73.0,64.5,10.6,42.8,4.2,0.6,2.2,1182.0,15.6,0.6,2.0,,0.5,,,1.5,GRAMA,111
112,216.0,100,1.6,0.0,73.0,64.5,10.6,42.8,4.2,0.6,2.2,1182.0,15.6,0.6,2.0,,0.5,,,1.5,GRAMA,112
113,361.0,100,,0.0,65.0,87.9,1.1,6.4,0.3,0.1,,340.0,1.6,0.1,1.0,0.1,,,,,GRAMA,113
114,361.0,100,,0.0,65.0,87.9,1.1,6.4,0.3,0.1,,340.0,1.6,0.1,1.0,0.1,,,,,GRAMA,114
115,361.0,100,,0.0,65.0,87.9,1.1,6.4,0.3,0.1,,340.0,1.6,0.1,1.0,0.1,,,,,GRAMA,115
116,361.0,100,,0.0,65.0,87.9,1.1,6.4,0.3,0.1,,340.0,1.6,0.1,1.0,0.1,,,,,GRAMA,116
117,336.0,100,,0.0,4.0,82.0,0.2,,0.0,,,,2.0,,1.5,,,,,,GRAMA,117
118,117.0,100,13.2,0.0,102.2,15.5,0.2,0.0,4.1,1.2,0.3,137.7,4.3,2.0,100.4,0.1,45.7,,1.0,0.2,GRAMA,118
119,331.0,100,,0.0,12.0,81.1,0.1,0.6,0.3,,,48.0,0.5,,2.0,,,,,,GRAMA,119
120,331.0,100,,0.0,12.0,81.1,0.1,0.6,0.3,,,48.0,0.5,,2.0,,,,,,GRAMA,120
121,117.0,100,13.2,0.0,102.2,15.5,0.2,0.0,4.1,1.2,0.3,137.7,4.3,2.0,100.4,0.1,45.7,,1.0,0.2,GRAMA,121
122,336.0,100,,0.0,4.0,82.0,0.2,,0.0,,,,2.0,,1.5,,,,,,GRAMA,122
123,396.7,100,,0.0,2.9,73.3,6.0,2.7,6.3,,,,12.7,,126.7,,,29.7,5.0,,GRAMA,123
124,345.8,100,,0.0,508.0,70.8,12.5,6.2,0.0,,,,12.9,,550.0,,,40.4,4.6,9.2,GRAMA,124
125,365.0,100,,0.0,143.0,83.8,3.1,4.1,1.0,,,83.0,7.2,,655.0,,15.0,,,,GRAMA,125
126,78.2,100,7.2,0.0,124.6,10.5,0.2,0.2,3.1,0.9,0.6,156.8,2.4,1.4,319.3,0.2,30.1,0.1,0.5,0.2,GRAMA,126
127,252.5,100,1.7,0.0,166.4,33.7,2.2,1.8,8.2,2.1,2.3,140.7,10.2,3.3,444.4,0.1,33.6,1.9,0.0,0.8,GRAMA,127
128,252.5,100,1.7,0.0,166.4,33.7,2.2,1.8,8.2,2.1,2.3,140.7,10.2,3.3,444.4,0.1,33.6,1.9,0.0,0.8,GRAMA,128
129,252.5,100,1.7,0.0,166.4,33.7,2.2,1.8,8.2,2.1,2.3,140.7,10.2,3.3,444.4,0.1,33.6,1.9,0.0,0.8,GRAMA,129
130,252.5,100,1.7,0.0,166.4,33.7,2.2,1.8,8.2,2.1,2.3,140.7,10.2,3.3,444.4,0.1,33.6,1.9,0.0,0.8,GRAMA,130
131,70.0,100,0.2,0.0,521.0,74.0,40.0,73.0,2.0,0.4,1.1,1420.0,12.0,0.3,20.0,,,,,0.1,GRAMA,131
132,319.8,100,0.4,0.0,18.3,33.5,2.5,1.4,15.7,4.2,7.3,127.6,10.4,3.2,413.2,0.1,20.4,1.2,0.5,1.2,GRAMA,132
133,158.0,100,0.6,0.0,7.0,30.9,1.3,1.8,0.9,0.1,0.3,44.0,5.8,0.2,1.0,,,,,0.1,GRAMA,133
134,158.0,100,0.6,0.0,7.0,30.9,1.3,1.8,0.9,0.1,0.3,44.0,5.8,0.2,1.0,,,,,0.1,GRAMA,134
135,158.0,100,0.6,0.0,7.0,30.9,1.3,1.8,0.9,0.1,0.3,44.0,5.8,0.2,1.0,,,,,0.1,GRAMA,135
136,158.0,100,0.6,0.0,7.0,30.9,1.3,1.8,0.9,0.1,0.3,44.0,5.8,0.2,1.0,,,,,0.1,GRAMA,136
137,186.7,100,0.6,0.0,7.0,30.9,1.3,1.8,4.2,0.1,0.3,44.0,5.8,0.2,1.0,,,,,0.1,GRAMA,137
138,186.7,100,0.6,0.0,7.0,30.9,1.3,1.8,4.2,0.1,0.3,44.0,5.8,0.2,1.0,,,,,0.1,GRAMA,138
139,115.2,100,1.2,0.0,18.2,17.8,0.3,1.8,4.4,1.1,0.2,298.4,1.8,2.7,138.3,0.2,36.3,6.4,0.2,0.2,GRAMA,139
140,142.4,100,0.2,0.0,49.8,5.8,2.6,0.4,5.3,1.2,3.0,44.7,18.5,0.8,455.7,0.0,,,,0.4,GRAMA,140
141,142.4,100,0.2,0.0,49.8,5.8,2.6,0.4,5.3,1.2,3.0,44.7,18.5,0.8,455.7,0.0,,,,0.4,GRAMA,141
142,62.0,100,1.3,0.0,32.0,2.4,1.0,0.1,2.7,0.5,1.5,194.0,6.9,0.4,36.0,,,,,0.2,GRAMA,142
143,142.4,100,0.2,0.0,49.8,5.8,2.6,0.4,5.3,1.2,3.0,44.7,18.5,0.8,455.7,0.0,,,,0.4,GRAMA,143
144,567.0,100,4.0,0.0,92.0,16.1,4.6,8.5,49.2,24.4,15.6,705.0,25.8,6.8,18.0,,,,,8.3,GRAMA,144
145,388.0,100,26.2,0.0,33.3,73.8,2.8,8.5,6.3,3.2,1.7,494.0,9.5,0.7,50.0,,0.3,0.6,,1.2,GRAMA,145
146,388.0,100,26.2,0.0,33.3,73.8,2.8,8.5,6.3,3.2,1.7,494.0,9.5,0.7,50.0,,0.3,0.6,,1.2,GRAMA,146
147,388.0,100,26.2,0.0,33.3,73.8,2.8,8.5,6.3,3.2,1.7,494.0,9.5,0.7,50.0,,0.3,0.6,,1.2,GRAMA,147
148,189.9,100,4.5,0.0,94.0,25.5,0.9,1.2,7.2,1.8,2.5,128.2,5.7,2.4,429.7,0.2,33.5,0.1,0.4,0.4,GRAMA,148
149,189.9,100,4.5,0.0,94.0,25.5,0.9,1.2,7.2,1.8,2.5,128.2,5.7,2.4,429.7,0.2,33.5,0.1,0.4,0.4,GRAMA,149
150,369.1,100,57.6,0.0,538.3,68.0,11.1,,0.5,0.1,0.0,1038.5,24.1,0.3,351.2,0.0,716.7,37.0,1.5,8.3,GRAMA,150
151,142.4,100,0.2,0.0,49.8,5.8,2.6,0.4,5.3,1.2,3.0,44.7,18.5,0.8,455.7,0.0,,,,0.4,GRAMA,151
152,142.4,100,0.2,0.0,49.8,5.8,2.6,0.4,5.3,1.2,3.0,44.7,18.5,0.8,455.7,0.0,,,,0.4,GRAMA,152
153,369.1,100,57.6,0.0,538.3,68.0,11.1,,0.5,0.1,0.0,1038.5,24.1,0.3,351.2,0.0,716.7,37.0,1.5,8.3,GRAMA,153
154,365.0,100,,0.0,143.0,83.8,3.1,4.1,1.0,,,83.0,7.2,,655.0,,15.0,,,,GRAMA,154
155,255.6,100,2.2,0.0,308.8,29.8,2.2,1.7,8.4,2.4,0.4,184.6,14.6,5.1,736.8,0.2,57.6,2.2,0.1,0.6,GRAMA,155
156,189.9,100,4.5,0.0,94.0,25.5,0.9,1.2,7.2,1.8,2.5,128.2,5.7,2.4,429.7,0.2,33.5,0.1,0.4,0.4,GRAMA,156
157,142.4,100,0.2,0.0,49.8,5.8,2.6,0.4,5.3,1.2,3.0,44.7,18.5,0.8,455.7,0.0,,,,0.4,GRAMA,157
158,120.6,100,1.4,0.0,12.2,17.4,1.3,1.2,2.8,0.8,0.8,137.2,6.2,0.7,82.2,0.1,12.7,8.9,0.1,0.3,GRAMA,158
159,163.2,100,0.3,0.0,12.5,15.4,0.8,0.9,4.1,0.9,2.2,194.0,15.0,0.7,53.0,0.0,6.5,,0.6,0.6,GRAMA,159
160,354.0,100,3.5,0.0,14.0,15.2,2.4,9.0,33.5,1.4,0.4,356.0,3.3,29.7,20.0,,,3.3,,,GRAMA,160
161,131.0,100,4.2,0.0,46.0,27.8,1.7,4.1,1.4,0.5,0.6,715.0,2.0,0.3,27.0,,,26.7,,0.2,GRAMA,161
162,174.4,100,,0.0,15.8,43.9,0.8,15.6,0.8,0.1,0.2,727.0,3.0,0.3,0.9,,,27.7,,,GRAMA,162
