id_alimento,id_usuario,nome_alimento,estado_alimento,alimento_verificado,grupo_alimentar,marca_alimento,dtt_criacao_alimento,alimento_ativo
273,,Palmito in natura,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
274,,Palmito in natura,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
275,,Guariroba,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
276,,Guariroba,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
277,,Gueroba,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
278,,Gueroba,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
279,,Pimentão,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
280,,Quiabo,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
281,,Quiabo,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
282,,Quiabo,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
283,,Quiabo,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
284,,Tomate,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
285,,Vagem,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
286,,Vagem,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
287,,Vagem,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
288,,Cogumelo in natura,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
289,,Berinjela,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
290,,Berinjela,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
291,,Berinjela,ASSADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
292,,Berinjela,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
293,,Berinjela,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
294,,Ervilha em vagem,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
295,,Ervilha em vagem,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
296,,Cebola,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
297,,Cebola,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
298,,Cebola,GRELHADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
